trader_count,title,outcome,combined_value,avg_entry_price,current_price,event_url,trader_list
3,Ukraine officially agrees to a US backed ceasefire framework by June 30?,No,3926.69,0.8254,0.929,https://polymarket.com/event/ukraine-officially-agrees-to-a-us-backed-ceasefire-framework-in-2025,"PatrocIus:$45; ScottyNooo:$3,689; tetrose:$194"
3,Will Nithya Raman win the 2026 Los Angeles mayoral election?,Yes,3898.95,0.258,0.381,https://polymarket.com/event/los-angeles-mayoral-election-117,"aenews2:$1,708; ScottyNooo:$1,572; coali10:$619"
3,Will Canada win the 2026 FIFA World Cup?,Yes,3464.95,0.0121,0.0025,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$2,000; alwayslatetotheparty:$1,225; boyau:$240"
3,"Iran agrees to surrender enriched uranium stockpile by June 30, 2026?",Yes,3387.73,0.1941,0.0325,https://polymarket.com/event/iran-agrees-to-surrender-enriched-uranium-stockpile-by,"wan123:$1,636; Arbguy:$692; ScottyNooo:$1,060"
3,Will Scotland win the 2026 FIFA World Cup?,Yes,3204.71,0.0121,0.0025,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$2,000; alwayslatetotheparty:$955; boyau:$250"
3,Will Egypt win the 2026 FIFA World Cup?,Yes,2702.29,0.0117,0.0025,https://polymarket.com/event/world-cup-winner,"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$2,000; alwayslatetotheparty:$577; boyau:$125"
3,Will Trump agree to withdraw troops from the Iranian region by June 30?,No,2660.2,0.3299,0.255,https://polymarket.com/event/what-iranian-demands-will-trump-agree-to-by-june-30,"aenews2:$1,698; PatrocIus:$911; ScottyNooo:$51"
3,Will there be another US government shutdown by January 31 and will the Republican Party win the House in 2026?,No,2575.51,0.5514,0.8179,https://polymarket.com/event/another-us-government-shutdown-house-winner-2026,"cigarettes:$43; donthackme:$314; ScottyNooo:$2,218"
3,Will Switzerland win on 2026-06-18?,No,2558.5,0.3711,0.375,https://polymarket.com/event/fifwc-che-bih-2026-06-18,"swisstony:$1,701; RN1:$218; sbsigner:$640"
3,Will Marco Rubio win the 2028 US Presidential Election?,Yes,1649.44,0.0359,0.1565,https://polymarket.com/event/presidential-election-winner-2028,"alwayslatetotheparty:$237; donthackme:$27; ScottyNooo:$1,385"
3,"Will no qualifying diplomatic US-Iran meeting occur by June 30, 2026?",No,1352.84,0.824,0.79,https://polymarket.com/event/where-will-the-next-us-iran-diplomatic-meeting-happen-455,"cigarettes:$47; ScottyNooo:$79; Valen9:$1,226"
3,"Will no qualifying diplomatic US-Iran meeting occur by June 30, 2026?",Yes,985.41,0.1406,0.21,https://polymarket.com/event/where-will-the-next-us-iran-diplomatic-meeting-happen-455,PatrocIus:$288; donthackme:$581; ScottyNooo:$116
3,Will the next diplomatic US-Iran meeting be in Switzerland?,No,883.93,0.1991,0.4595,https://polymarket.com/event/where-will-the-next-us-iran-diplomatic-meeting-happen-455,donthackme:$236; ScottyNooo:$148; tetrose:$500
3,Will Canada win Group B in the 2026 FIFA World Cup?,Yes,595.5,0.2604,0.3449,https://polymarket.com/event/world-cup-group-b-winner,cigarettes:$139; donthackme:$25; boyau:$431
3,Will Czechia win the 2026 FIFA World Cup?,Yes,526.62,0.0119,0.0005,https://polymarket.com/event/world-cup-winner,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465:$400; alwayslatetotheparty:$27; boyau:$100
3,Will Renan Santos win the 2026 Brazilian presidential election?,Yes,477.81,0.0607,0.152,https://polymarket.com/event/brazil-presidential-election,cigarettes:$226; donthackme:$83; ScottyNooo:$169
3,Will Benjamin Netanyahu be the next Prime Minister of Israel?,Yes,377.15,0.242,0.335,https://polymarket.com/event/who-will-be-the-next-prime-minister-of-israel-after-the-next-election,cigarettes:$181; donthackme:$146; ScottyNooo:$50
